,Date,Notice_title,Reference_no.,OCID,Published_by,Deadline_date,Notice_type,Url
207,15-08-2022,DGLW/22/06 Provision of Primary Medical Services at Lochree Practice Stranraer,AUG456387,ocds-r6ebe6-0000703478,Dumfries and Galloway Health Board,14-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456387
208,15-08-2022,Urinary Catheters & Drainage Bags,AUG456386,ocds-r6ebe6-0000702077,"The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",,15 Voluntary ex ante Transparency (VEAT) Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456386
209,15-08-2022,"Fixed Electrical Installations - Inspection, Testing, Condition Reporting & Repairs",AUG456384,ocds-r6ebe6-0000688018,The Highland Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456384
210,15-08-2022,Intelligent Client/Business Analyst Award,AUG456380,ocds-r6ebe6-0000703485,Scottish Government,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456380
211,15-08-2022,Award of Water purification system - MS-P-0168,AUG456377,ocds-r6ebe6-0000692682,Scottish Government,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456377
212,15-08-2022,Award of Provision of service contract for MiSeq next generation sequencer - MS-P-0162,AUG456372,ocds-r6ebe6-0000687140,Scottish Government,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456372
213,15-08-2022,Principle AWS Architect award,AUG456368,ocds-r6ebe6-0000703480,Scottish Government,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456368
214,15-08-2022,Award of PKC12039 Taxi/PHV Contract DAD/005,AUG456366,ocds-r6ebe6-0000702512,Perth & Kinross Council,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456366
215,15-08-2022,DGLW/22/05 Provision of Primary Medical Services at Lochnaw Practice Stranraer,AUG456363,ocds-r6ebe6-0000703463,Dumfries and Galloway Health Board,14-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456363
216,15-08-2022,Lift Replacement Works at 74-80 Spring Garden (8275),AUG456361,ocds-r6ebe6-0000703466,Aberdeen City Council,09-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456361
217,15-08-2022,PR Services in North America,AUG456357,ocds-r6ebe6-0000703319,VisitScotland,19-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456357
218,15-08-2022,CT1043 Winter Fesitvals,AUG456351,ocds-r6ebe6-0000685457,The City of Edinburgh Council,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456351
219,15-08-2022,Mechanical Biological Treatment (MBT) Outputs,AUG456350,ocds-r6ebe6-0000702339,Dumfries and Galloway Council,14-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456350
220,15-08-2022,Lothian Health Board - Contact Lens Optometry Partnership,AUG456343,ocds-r6ebe6-0000702596,NHS Lothian,15-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456343
221,15-08-2022,CT0913 Interpretation and Communication Support in British Sign Language (BSL),AUG456342,ocds-r6ebe6-0000703299,The City of Edinburgh Council,20-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456342
222,15-08-2022,Delivery of the Quality Meat Scotland (QMS) Impact Review,AUG456337,ocds-r6ebe6-0000703002,Quality Meat Scotland,02-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456337
223,15-08-2022,HR Information and Payroll System,AUG456335,ocds-r6ebe6-0000703408,Scottish Parliamentary Corporate Body,,01 Prior Information Notice (PIN),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456335
224,15-08-2022,8159 - Proposed Toilet Refurbishment Works at Kingsford Primary School,AUG456333,ocds-r6ebe6-0000698951,Aberdeen City Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456333
225,15-08-2022,Data Management Solution,AUG456330,ocds-r6ebe6-0000703426,The Scottish Sports Council trading as sportscotland,01-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456330
226,15-08-2022,"Window Replacements to Blocks 2, 3 & No7 Wilson Court, Edinburgh, EH8 8DD",AUG456328,ocds-r6ebe6-0000703307,Hillcrest,30-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456328
227,15-08-2022,Parliamentary Monitoring and Associated Services,AUG456327,ocds-r6ebe6-0000688457,Scottish Environment Protection Agency,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456327
228,15-08-2022,Provision of Agresso System Support Services,AUG456325,ocds-r6ebe6-0000687831,Scottish Environment Protection Agency,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456325
229,15-08-2022,Provision of Road Markings and Reflective Road Studs,AUG456324,ocds-r6ebe6-0000698485,Shetland Islands Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456324
230,15-08-2022,Framework for Provision of Drainage Works,AUG456320,ocds-r6ebe6-0000674071,Midlothian Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456320
231,15-08-2022,Framework for a Mini Batch Direct Compression Technical & Business Development Consultant,AUG456319,ocds-r6ebe6-0000701423,Centre for Process Innovation Limited,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456319
232,15-08-2022,Dry Rot Works,AUG456312,ocds-r6ebe6-0000703415,Home Fix Scotland Limited,29-Aug-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456312
233,15-08-2022,"Non-Domestic Oil Boilers - Servicing, Maintenance, Repairs & Call Outs",AUG456311,ocds-r6ebe6-0000687188,The Highland Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456311
234,15-08-2022,Framework for Ground Works,AUG456309,ocds-r6ebe6-0000674032,Midlothian Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456309
235,15-08-2022,PURCH2090 PROVISION OF SCREENING OF DNA ENCODED LIBRARY,AUG456301,ocds-r6ebe6-0000694105,University of Glasgow,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456301
236,15-08-2022,PURCH2084 PROVISION OF A FRAMEWORK AGREEMENT FOR PENSION ACCOUNTING SERVICES,AUG456300,ocds-r6ebe6-0000692987,University of Glasgow,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456300
237,15-08-2022,Award of University of Dundee Water Quality Management Services 2022 - 2025,AUG456298,ocds-r6ebe6-0000694300,University of Dundee,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456298
238,15-08-2022,Provision of Executive Coaching,AUG456294,ocds-r6ebe6-0000703355,Scottish Police Authority,,03 Contract Award Notice - Incomplete Procedure,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456294
239,15-08-2022,Provision of Executive Coaching,AUG456293,ocds-r6ebe6-0000703388,Scottish Police Authority,12-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456293
240,12-08-2022,Award of Deposit Return Scheme - Media Buying,AUG456286,ocds-r6ebe6-0000698739,Scottish Environment Protection Agency,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456286
241,12-08-2022,Framework Agreement for Learning and Development,AUG456283,ocds-r6ebe6-0000703363,The City of Edinburgh Council,18-Aug-22,21 Social and other Specific Services - Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456283
242,12-08-2022,PURCH2122 PROVISION OF FRAMEWORK AGREEMENT FOR THE PROVISION OF THE SUPPLY OF PELLETS FOR BIOMASS PLANT,AUG456282,ocds-r6ebe6-0000703336,University of Glasgow,12-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456282
243,12-08-2022,Fire Alarm Replacement - Major Blocks 2021/22 (H1392),AUG456280,ocds-r6ebe6-0000661260,Aberdeen City Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456280
244,12-08-2022,Door Entry Systems 2021/22 (H1410),AUG456278,ocds-r6ebe6-0000655494,Aberdeen City Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456278
245,12-08-2022,Replacement Stair Lighting 2021/22 (H1408),AUG456276,ocds-r6ebe6-0000651421,Aberdeen City Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456276
246,12-08-2022,Aids & Adaptations,AUG456275,ocds-r6ebe6-0000703365,River Clyde Homes,02-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456275
247,12-08-2022,Replacement of Main Switchgear and Common Area Circuit Testing 2020/21 (H1393),AUG456274,ocds-r6ebe6-0000642139,Aberdeen City Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456274
248,12-08-2022,Smoke Detectors - Replacement with multi sensor heads - Common Areas - Major Blocks 2020/21 (H1390),AUG456273,ocds-r6ebe6-0000636038,Aberdeen City Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456273
249,12-08-2022,Window Replacement Contract No 128 - H1356,AUG456272,ocds-r6ebe6-0000631792,Aberdeen City Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456272
250,12-08-2022,Provision of Executive Coaching,AUG456269,ocds-r6ebe6-0000703355,Scottish Police Authority,14-Aug-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456269
251,12-08-2022,Consultant to provide a dedicated Project Coordinator to the Scottish Offshore Wind Energy Council (SOWEC),AUG456268,ocds-r6ebe6-0000696545,Crown Estate Scotland,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456268
252,12-08-2022,Door Entry Systems 2020/21 (H1391),AUG456267,ocds-r6ebe6-0000630609,Aberdeen City Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456267
253,12-08-2022,"Consultant to develop and deliver a report, tools and guidance to improve knowledge of future revenue from oil and gas pipelines",AUG456266,ocds-r6ebe6-0000694955,Crown Estate Scotland,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456266
254,12-08-2022,Recruitment Services: Circular Economy Business Support Placements,AUG456261,ocds-r6ebe6-0000688291,Zero Waste Scotland Ltd,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456261
255,12-08-2022,Stub Block Contract (H1361),AUG456258,ocds-r6ebe6-0000615892,Aberdeen City Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456258
256,12-08-2022,Award of Harbour Generator Relay Replacement on MPV Minna (MS-P-0089),AUG456255,ocds-r6ebe6-0000665334,Scottish Government,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456255
257,12-08-2022,Award of Provision of Analysis of Consultation Responses for Remote electronic monitoring consult...,AUG456254,ocds-r6ebe6-0000696696,Scottish Government,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456254
258,12-08-2022,Managed Security Operations Service,AUG456247,ocds-r6ebe6-0000703328,Renfrewshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456247
259,12-08-2022,Electronic Signage,AUG456245,ocds-r6ebe6-0000703218,Scottish Borders Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456245
260,12-08-2022,PURCH2066 The Provision of an EPOS System for Glasgow University Heritage Retail Limited,AUG456244,ocds-r6ebe6-0000689798,University of Glasgow,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456244
261,12-08-2022,Award of Provision of Back Office Software Services,AUG456240,ocds-r6ebe6-0000659640,Scottish Government,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456240
262,12-08-2022,Desktop study to understand the potential options available to offshore wind developers upon expiry of any subsidy regime,AUG456232,ocds-r6ebe6-0000703300,Crown Estate Scotland,09-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456232
263,12-08-2022,Provision of Occupational Health Services - Request for Information,AUG456225,ocds-r6ebe6-0000703295,The Highland Council,,01 Prior Information Notices (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456225
264,12-08-2022,Award of A73 Carlisle Road/South Biggar Road Junction Improvements,AUG456222,ocds-r6ebe6-0000693367,North Lanarkshire Council,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456222
265,12-08-2022,Supply & Installation of Vehicle Activated Signs,AUG456219,ocds-r6ebe6-0000703175,Perth & Kinross Council,14-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456219
266,12-08-2022,NAC/5092 Access Services to Fulfil Statutory Obligations,AUG456213,ocds-r6ebe6-0000692789,North Ayrshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456213
267,12-08-2022,Award of World Car Free Day Event Management,AUG456204,ocds-r6ebe6-0000699833,The City of Edinburgh Council,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456204
268,12-08-2022,Acquisition of Halbeath Ph2,AUG456203,ocds-r6ebe6-0000703268,Kingdom Housing Association Limited,,15 Voluntary ex ante Transparency (VEAT) Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456203
269,12-08-2022,Academic Portfolio Review,AUG456200,ocds-r6ebe6-0000702369,Edinburgh Napier University,12-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456200
270,12-08-2022,Supply and Delivery of Trees for March - April 2023,AUG456199,ocds-r6ebe6-0000703239,Crown Estate Scotland,09-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456199
271,12-08-2022,EDC/2021/3125 STRUCTURAL REPAIRS 2021-2024,AUG456198,ocds-r6ebe6-0000675933,East Dunbartonshire Council,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456198
272,12-08-2022,SOUTH UIST DRAINAGE MAINTENANCE CONTRACT 2022 - 2025,AUG456197,ocds-r6ebe6-0000703267,Scottish Government,26-Aug-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456197
273,12-08-2022,Provision of a Suspended Access Equipment Maintenance Measured Term Contract (MTC),AUG456196,ocds-r6ebe6-0000696047,University of Strathclyde,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456196
274,12-08-2022,Peatland ACTION – Hydrological monitoring review,AUG456195,ocds-r6ebe6-0000703241,Scottish Natural Heritage,19-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456195
275,12-08-2022,"Cloch HA: Lift Modernisation Tender; 7 Lyle Street, Greenock",AUG456194,ocds-r6ebe6-0000694131,Cloch Housing Association Ltd,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456194
276,12-08-2022,Award of Interim Manager Framework - Professional Staff - 1 x Governance Support Officer,AUG456188,ocds-r6ebe6-0000699820,Scottish Government,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456188
277,12-08-2022,PKC11976 - A93/12 - Blairgowrie Weir Scour Repairs,AUG456187,ocds-r6ebe6-0000700328,Perth & Kinross Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456187
278,12-08-2022,National Coring Programme 2022,AUG456186,ocds-r6ebe6-0000683353,East Dunbartonshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456186
279,12-08-2022,Design and Build of Skate Park - Peebles,AUG456185,ocds-r6ebe6-0000675609,Scottish Borders Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456185
280,12-08-2022,Property Rating and Valuation Services,AUG456184,ocds-r6ebe6-0000702899,Highlands and Islands Airports Limited,09-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456184
281,12-08-2022,"Refurbishment + Alterations to The Speakers, Maybole",AUG456180,ocds-r6ebe6-0000566344,nbm Construction Cost Consultants Ltd,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456180
282,12-08-2022,Award of Hydrogen Supply Chain Event Facilitator,AUG456174,ocds-r6ebe6-0000701384,Scottish Government,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456174
283,12-08-2022,Framework for Maintenance Contractors,AUG456173,ocds-r6ebe6-0000701862,Cassiltoun Housing Association Ltd.,16-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456173
284,12-08-2022,"Maintenance, Inspection & Repair of Fall Protection Roof Systems and Associated Equipment",AUG456171,ocds-r6ebe6-0000702220,Glasgow Life (Culture & Sport Glasgow),29-Aug-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456171
285,12-08-2022,FHA Reactive and Void Repairs,AUG456170,ocds-r6ebe6-0000686637,Forth Housing Association Ltd,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456170
286,12-08-2022,Award of Repair to Rudder on MRV Scotia,AUG456168,ocds-r6ebe6-0000703233,Scottish Government,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456168
287,12-08-2022,Project_20240 Provision of Catering Clydebank Leisure Centre,AUG456167,ocds-r6ebe6-0000703227,West Dunbartonshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456167
288,12-08-2022,Clearance and Sustainable Disposal of all Furniture from 52-56 Queensberry Street Offices,AUG456166,ocds-r6ebe6-0000703214,Dumfries and Galloway Council,,01 Prior Information Notices (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456166
289,11-08-2022,Award of Digital - User Research Recruitment Partner,AUG456160,ocds-r6ebe6-0000698387,Scottish Government,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456160
290,11-08-2022,Out of Hours Emergency Telephony Service,AUG456159,ocds-r6ebe6-0000703219,Aberdeenshire Council,12-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456159
291,11-08-2022,GENERATOR WORKS 2019-2021,AUG456154,ocds-r6ebe6-0000586482,Aberdeen City Council,,03 Contract Award Notice - Incomplete Procedure,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456154
292,11-08-2022,Professional Building Consultancy Services,AUG456153,ocds-r6ebe6-0000703202,Viewpoint Housing Association,29-Aug-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456153
293,11-08-2022,18/0706 Burghead Groyne Works,AUG456150,ocds-r6ebe6-0000696475,Moray Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456150
294,11-08-2022,Award of Bow Repairs on MPV Hirta,AUG456147,ocds-r6ebe6-0000703216,Scottish Government,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456147
295,11-08-2022,Investment Banking Training Boot Camp,AUG456146,ocds-r6ebe6-0000699111,University of Strathclyde,08-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456146
296,11-08-2022,"Housing Refurbishment - Re-Build of Nos 136 - 143 Sandveien, Lerwick",AUG456145,ocds-r6ebe6-0000688938,Shetland Islands Council,26-Aug-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456145
297,11-08-2022,Interim Staff Services - Part-time ISD Finance and Budget Manager.,AUG456144,ocds-r6ebe6-0000703186,Crown Office and Procurator Fiscal Service,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456144
298,11-08-2022,SP-22-014 - Digital Business Identity Scotland (DBIS),AUG456141,ocds-r6ebe6-0000702729,Scottish Government,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456141
299,11-08-2022,Peatland ACTION – Developing the use of high-resolution remote sensing to monitor the effectiveness of peatland restoration on actively eroding blanket bog,AUG456140,ocds-r6ebe6-0000702955,Scottish Natural Heritage,19-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456140
300,11-08-2022,The Provision of Swiftwater Training,AUG456139,ocds-r6ebe6-0000703191,Scottish Environment Protection Agency,01-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456139
301,11-08-2022,CFM0093 - Provision of Health & Safety Compliance Service,AUG456138,ocds-r6ebe6-0000703163,Fife Council,26-Aug-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456138
302,11-08-2022,Provision of Workwear and Corporate Clothing,AUG456128,ocds-r6ebe6-0000687616,Historic Environment Scotland,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456128
303,11-08-2022,Next Generation Telemetry System,AUG456127,ocds-r6ebe6-0000697891,Scottish Environment Protection Agency,05-Oct-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456127
304,11-08-2022,Software Licenses,AUG456126,ocds-r6ebe6-0000703184,Forestry and Land Scotland,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456126
305,11-08-2022,Assessing the cumulative and cross-sector economic benefits of private investment in natural capital,AUG456123,ocds-r6ebe6-0000703133,Scottish Government,22-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456123
306,11-08-2022,"Survey of supply-side actors in Scotland’s current, nascent and potential future natural capital markets",AUG456122,ocds-r6ebe6-0000703132,Scottish Government,08-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456122
307,11-08-2022,Temporary Crewing Framework,AUG456109,ocds-r6ebe6-0000703160,Scottish Government,12-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456109
308,11-08-2022,Electronic Laboratory Notebooks (ELN) solution,AUG456108,ocds-r6ebe6-0000702969,University of Dundee,12-Sep-22,01 Prior Information Notice (PIN) - Call for Competition,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456108
309,11-08-2022,Consultancy Services,AUG456107,ocds-r6ebe6-0000702815,LHC for the Scottish Procurement Alliance (SPA),13-Oct-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456107
310,11-08-2022,SPM Carers and Winters Requirement,AUG456105,ocds-r6ebe6-0000703017,Scottish Government,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456105
311,11-08-2022,Award of Victim Centred Approach - Review of Communications,AUG456103,ocds-r6ebe6-0000697045,Scottish Government,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456103
